Name;Jahr;Sektor;Payout;PayoutVJ;Quote;ROA;FCFUE;lnUEWachs;lnInv;lnFKQ;lnCash;lnGK;lnUE;lnMK;lnAnalyst;Float;ARP;lnKBV;Abgeltung
COMPUTERLINKS AG;2006;Consumer;1;1;0,007539896;0,064699;-0,044073112;0,281731654;0,008837108;0,024146122;-2,997078068;4,896645057;5,632479795;4,435689117;1,386294361;0,674310402;0;0,661755019;0
CONSTANTIN FILM AG;2006;Sonstige;0;0;0;0,011171;-0,107298386;-0,144064385;0,003034849;0,251501633;-1,489762722;5,969188263;5,364980192;4,851529335;1,386294361;0,169190928;1;0,753362262;0
CONSTANTIN MEDIEN AG;2006;Consumer;0;0;0;0,000617;-0,056177952;0,01382302;0,024177225;0,200407843;-1,931830165;5,756245252;5,344699873;5,797226591;1,609437912;0,678911625;0;0,515151454;0
CONTINENTAL AG;2006;Consumer;1;1;0,010560348;0,091841;0,048463561;0,093870052;0,079414592;0,160764191;-2,113903287;9,263663125;9,535115911;9,455769817;3,526360525;1;0;1,274685383;0
COR&FJA AG;2006;IT;0;0;0;-0,060735;-0,402942189;-0,280249761;0,005941614;0,278781076;-0,958911272;3,223680265;3,934277526;3,881645052;1,945910149;0,87471282;0;2,650891787;0
CTS EVENTIM;2006;Consumer;1;0;0,031852778;0,077845;0,233948503;0,139844548;0,010786387;0,028616611;-0,550658554;5,465406835;5,545874858;6,444500028;1,945910149;0,324666667;0;2,117140795;0
CURANUM AG;2006;Health Care;1;1;0,016389363;0,039699;0,077312422;0,025486444;0,018278231;0,466703816;-4,325085236;5,1021139;5,239002512;5,483549612;1,098612289;0,900003237;0;2,045116563;0
CURASAN AG;2006;Health Care;0;0;0;-0,103949;-0,468535098;-0,010916367;0,017628365;0,026353671;-1,704561184;2,929806123;2,042129007;2,682151028;0;0,5374;0;0,07701988;0
D+S EUROPE AG;2006;Sonstige;0;0;0;0,037494;-0,072738419;0,763081742;0,034918171;0,237995907;-3,100633396;5,221576701;4,70879119;5,316068901;1,098612289;0,842124992;0;0,862627207;0
DAIMLER AG;2006;Consumer;1;1;0,01019214;0,01481;-0,098380248;0,052897906;0,126054294;0,337461033;-3,263796373;12,21419953;11,91689612;10,77181021;3,663561646;0,927999827;1;0,268614417;0
DATA MODUL AG;2006;IT;1;1;0,004000202;0,011907;-0,062337942;-0,021256323;0,039087608;0,251922244;-3,024230421;4,105696551;5,063366887;3,529066425;1,386294361;0,907797382;0;0,389249808;0
DCI DATABASE FOR COMMERCE;2006;IT;0;0;0;-0,277746;-0,292438272;-0,149509799;0,037243178;0,010128533;-0,359123898;0,770571078;0,952429779;2,408254611;0;0,476904903;0;2,030252516;0
DEAG DEUTSCHE ENTERTAINMENT;2006;Consumer;0;0;0;-0,061316;-0,005362872;-0,337722818;5,74E-05;0,108875929;-1,176399189;4,467297957;4,137611565;3,604681751;1,098612289;0,798653684;0;0,553385238;0
DEUFOL AG;2006;Industrials;0;0;0;0,006282;0,002851529;0,003341411;0,031493558;0,270982406;-3,3036257;5,358518369;5,747850396;4,387871873;1,609437912;0,601674076;0;0,120440687;0
DEUTSCHE LUFTHANSA;2006;Industrials;1;1;0,012674232;0,024262;0,047384445;0,062823614;0,056587475;0,17147882;-2,799088696;9,866408544;9,801731644;8,762367534;3,433987204;1;0;0,388579513;0
DEUTSCHE POST AG;2006;Industrials;1;1;0,018716312;0,01371;0,031932547;0,032500103;0,011752952;0,572389851;-4,416919378;12,05896378;10,7053546;10,15576097;3,433987204;0,554999597;0;0,885141532;0
DEUTSCHE TELEKOM AG;2006;Sonstige;1;1;0,050708927;0,04405;0,127457889;0,038497375;0,05601134;0,310185461;-3,251254475;11,76343513;10,99547796;10,9689013;3,784189634;0,629994993;0;0,252578865;0
DEUTZ AG;2006;Industrials;0;0;0;0,068422;0,037345026;0,062786049;0,075215247;0,122056558;-3,090102869;6,969602682;7,187505981;6,306365748;1,098612289;0,549018989;0;0,79939988;0
DIALOG SEMICONDUCTOR PLC;2006;IT;0;0;0;-0,202751;0,048398032;0,111211267;0,040336278;0;-1,807573379;4,80437508;5,081804285;4,711720384;1,945910149;0,729855454;0;0,134646892;0
DOCCHECK AG;2006;IT;1;1;0,042165405;0,022249;0,142693901;0,062006255;0,011336213;0,000185983;-2,272181805;3,074497242;2,416056625;3,159997593;0,693147181;0,319952575;1;0,239094302;0
DOUGLAS HOLDING AG;2006;Consumer;1;1;0,016180923;0,043045;0,017910324;0,054906658;0,082504217;0,264065893;-1,817333013;7,254107123;7,790530633;7,337171005;3,091042453;0,823691812;0;1,051445744;0
DR HOENLE AG;2006;Industrials;1;1;0,068880904;0,081258;0,038208746;0,017860547;0,056921132;0,029910197;-1,342862309;3,468232783;3,127724983;3,945416001;1,098612289;0,73148855;0;0,659481483;0
DR. SCHELLER COSMETICS AG;2006;Consumer;0;0;0;0,013294;0,09678749;0,042496112;0,060556215;0,244830676;-4,340941089;3,94344415;4,320231015;3,656704859;0;0,075076923;0;0,947395451;0
DRAEGERWERK AG - PFD;2006;Health Care;1;1;0,001946861;0,024923;-0,007661743;0,070067893;0,027390581;0,26363269;-2,129338853;7,337091264;7,396844367;5,846655515;2,079441542;1;1;0,988087334;0
DRILLISCH AG;2006;Sonstige;1;0;0,01973048;0,140239;0,036614646;-0,08085437;0,03306424;0,00257967;-1,303624724;4,706986428;5,778283703;5,042714469;1,098612289;0,61246015;1;0,777025414;0
DUERR AG;2006;Industrials;0;0;0;0,003311;-0,117411648;-0,20879819;0,015431382;0,168269961;-2,255390624;7,080964612;7,244657495;5,613205366;1,386294361;0,476989789;0;0,200967577;0
DYCKERHOFF AG (VZ.);2006;Sonstige;1;1;0,003104575;0,015603;0,100591215;0,100755328;0,021937764;0,212999474;-2,783313415;8,11181075;7,190634511;6,464329205;1,791759469;0,377997864;0;0,05015888;0
ECKERT & ZIEGLER;2006;Health Care;1;1;0,011565371;0,027311;-0,003493492;0,162242991;0,053429912;0,174249062;-2,605260266;4,204647842;3,732704934;3,754906642;0,693147181;0,472027972;0;0,203695514;0
EDOB ABWICKLUNGS AG;2006;Consumer;0;0;0;0,030833;0,038037763;0,036284676;0,035807656;0,400134258;-3,568471936;6,071709542;6,474763772;6,085217048;2,302585093;0,895948491;0;1,485432732;0
ELEXIS AG;2006;Industrials;1;0;0,02486432;0,090616;0,062504109;0,027337891;0,00688917;0,212930778;-2,349994475;4,761164879;4,919272646;5,277971588;1,098612289;0,942826087;0;1,605726724;0
ELMOS SEMICONDUCTOR AG;2006;IT;0;1;0;0,044177;-0,019943061;0,025182249;0,091090361;0,251982871;-3,032917797;5,468161402;4,990183576;5,267072644;2,48490665;0,474085523;0;0,299088287;0
ELRINGKLINGER AG;2006;Consumer;1;1;0,040048712;0,096255;0,031458719;0,032425563;0,114221267;0,171727302;-4,633841802;6,123143913;6,162518698;6,580562352;2,302585093;0,443003472;0;1,386837796;0
EMPRISE AG;2006;IT;0;0;0;-0,099817;-0,192370092;-0,037681099;0,006286822;0,301213607;-1,483095044;2,665956565;3,171930957;2,788432789;0,693147181;0,916176926;0;1,989570296;0
EMS NEW MEDIA AG;2006;Consumer;0;0;0;-0,007112;0,16009003;-0,007062884;0,014834923;0,428631353;-4,113955051;3,941979787;2,897419089;3,376522956;1,386294361;0,549989827;0;0,457156201;0
EPCOS AG;2006;Sonstige;0;0;0;-0,083308;-0,056082552;-0,169336232;0,105096634;0,219829265;-1,96265752;7,227614567;7,047533743;6,600426263;3,044522438;0,75;0;0,278771437;0
EPIGENOMICS AG;2006;Health Care;0;0;0;-0,178814;-0,887742339;0,190358342;0,022067315;0,000977522;-0,648787216;3,806595821;2,261137903;4,570439417;1,386294361;0,52851054;0;0,901543189;0
ESSANELLE HAIR GROUP AG;2006;Consumer;0;0;0;0,049787;0,04662908;-0,009976601;0,097574316;0,255726901;-2,52903959;3,921216614;4,732104994;3,608211551;0;0,589333333;1;0,558488375;0
EVOTEC AG;2006;Health Care;0;0;0;-0,201909;-0,086298058;-0,126075826;0,018082693;0,068889666;-1,246287854;5,22634327;4,160678346;5,582283825;2,079441542;0,735129623;0;0,580556118;0
FIELMANN AG;2006;Consumer;1;1;0,054428339;0,113986;0,016684537;0,092575535;0,095836606;0,051574855;-1,812540772;6,217673396;6,597246652;7,252508136;2,63905733;0,289904762;0;1,37620868;0
FORTEC ELEKTRONIK AG;2006;IT;1;1;0,017888495;0,087257;-0,037833063;0,262577319;0,011956834;0,00609141;-3,120112101;3,016416865;3,812876476;3,729228377;0;0,9;0;1,043669213;0
FRAPORT AG;2006;Industrials;1;1;0,039034884;0,042411;0,032347593;0,044872022;0,102402912;0,176437614;-1,928898071;8,281875839;7,644823647;8,669085594;3,091042453;0,36389413;0;1,004192587;0
FREENET.DE AG;2006;Sonstige;0;1;0;0,11924;0,160540355;0,416308769;0,022994453;0,001795387;-1,279809388;6,3063574;6,572401417;7,218059627;2,197224577;0,443094466;0;1,57574667;0
FRESENIUS SE (VZ.);2006;Sonstige;1;1;0,004788693;0,022445;0,054125998;0,081575379;0,029992478;0,26394225;-3,828813914;9,358243002;8,973224663;8,148765104;2,197224577;1;0;0,896956975;0
FRIWO AG;2006;IT;0;0;0;0,043454;0,032623861;0,360444032;0,08865771;0,061653739;-2,810891538;4,825261083;5,438414036;4,048091178;0,693147181;0,231818182;0;0,619527039;0
FUCHS PETROLUB AG (VZ.);2006;Sonstige;1;1;0,007614746;0,097161;0,044623385;0,083859415;0,034966609;0,205013796;-3,280477345;6,538573883;7,083555619;6,185496506;0,693147181;1;0;1,434492935;0
