"Index","price","return"
"2016-04-14","2016-04-14",25.4657192230225,0.000535444156292364
"2016-04-15","2016-04-15",24.9545879364014,-0.0202755130086283
"2016-04-18","2016-04-18",24.4161968231201,-0.0218109742144059
"2016-04-19","2016-04-19",24.2867069244385,-0.00531755578592685
"2016-04-20","2016-04-20",24.3366832733154,0.00205565125230489
"2016-04-21","2016-04-21",24.0731773376465,-0.0108865646312091
"2016-04-22","2016-04-22",24.0072937011719,-0.00274055874607448
"2016-04-25","2016-04-25",23.8709907531738,-0.00569374269699674
"2016-04-26","2016-04-26",23.7051563262939,-0.00697135470969679
"2016-04-27","2016-04-27",22.2217292785645,-0.0646219844860303
"2016-04-28","2016-04-28",21.5424995422363,-0.0310428996187309
"2016-04-29","2016-04-29",21.294885635376,-0.0115607740135513
"2016-05-02","2016-05-02",21.2721672058105,-0.00106741858814319
"2016-05-03","2016-05-03",21.6220073699951,0.0163121414460701
"2016-05-04","2016-05-04",21.3971138000488,-0.0104556119512851
"2016-05-05","2016-05-05",21.3102626800537,-0.00406727113124461
"2016-05-06","2016-05-06",21.1914138793945,-0.00559267869222735
"2016-05-09","2016-05-09",21.2074089050293,0.000754503325477884
"2016-05-10","2016-05-10",21.3513965606689,0.00676655293546702
"2016-05-11","2016-05-11",21.1434173583984,-0.00978852917424167
"2016-05-12","2016-05-12",20.6474552154541,-0.0237365433441279
"2016-05-13","2016-05-13",20.6885967254639,0.00199058795715024
"2016-05-16","2016-05-16",21.4565372467041,0.0364467000363882
"2016-05-17","2016-05-17",21.3673973083496,-0.00416309561574435
"2016-05-18","2016-05-18",21.6119537353516,0.0113803052144892
"2016-05-19","2016-05-19",21.5296764373779,-0.00381429247793541
"2016-05-20","2016-05-20",21.7627964019775,0.0107696420421886
"2016-05-23","2016-05-23",22.039342880249,0.0126272441183217
"2016-05-24","2016-05-24",22.3753185272217,0.0151293309435676
"2016-05-25","2016-05-25",22.768424987793,0.0174162072736106
"2016-05-26","2016-05-26",22.9489898681641,0.00789921389212411
"2016-05-27","2016-05-27",22.935266494751,-0.000598173530971025
"2016-05-31","2016-05-31",22.8232765197754,-0.00489483236128674
"2016-06-01","2016-06-01",22.5033054351807,-0.0141187085358805
"2016-06-02","2016-06-02",22.3341789245605,-0.00754401435081897
"2016-06-03","2016-06-03",22.3798828125,0.00204427431016496
"2016-06-06","2016-06-06",22.5421562194824,0.00722469933768011
"2016-06-07","2016-06-07",22.6335773468018,0.00404736104544678
"2016-06-08","2016-06-08",22.6130104064941,-0.000909104652768278
"2016-06-09","2016-06-09",22.7752857208252,0.00715056609798381
"2016-06-10","2016-06-10",22.5878658294678,-0.00826313654855326
"2016-06-13","2016-06-13",22.2473278045654,-0.0151909491611972
"2016-06-14","2016-06-14",22.2747535705566,0.00123200751685992
"2016-06-15","2016-06-15",22.2016162872314,-0.00328881828629912
"2016-06-16","2016-06-16",22.2953243255615,0.00421189302327774
"2016-06-17","2016-06-17",21.7879428863525,-0.0230202467994784
"2016-06-20","2016-06-20",21.735372543335,-0.00241573363904823
"2016-06-21","2016-06-21",21.9204998016357,0.00848125844546344
"2016-06-22","2016-06-22",21.8382148742676,-0.00376085197950005
"2016-06-23","2016-06-23",21.9639186859131,0.00573963624696194
"2016-06-24","2016-06-24",21.3468284606934,-0.0284978684672601
"2016-06-27","2016-06-27",21.0359973907471,-0.014668047099998
"2016-06-28","2016-06-28",21.3902530670166,0.0167002224248103
"2016-06-29","2016-06-29",21.575382232666,0.00861759916008298
"2016-06-30","2016-06-30",21.8496417999268,0.0126315745367145
"2016-07-01","2016-07-01",21.9159202575684,0.00302879730973249
"2016-07-05","2016-07-05",21.7102298736572,-0.00942975291012793
"2016-07-06","2016-07-06",21.8336486816406,0.00566872509191185
"2016-07-07","2016-07-07",21.9273586273193,0.00428281224225291
"2016-07-08","2016-07-08",22.0964832305908,0.0076833564787262
"2016-07-11","2016-07-11",22.1650543212891,0.00309845293906186
