"totalrent";"livingspace";"balcony";"yearconstructed";"haskitchen";"floor";"interiorqual"
1580;90;1;1955;0;3;4
1070;63;1;2020;0;1;3
1400;97;0;1930;1;3;2
935;71;1;1954;0;5;3
630;43;1;1972;1;0;0
784;61;1;1912;0;3;2
1530;92;1;1972;0;3;0
1465;96;1;1922;0;0;0
1822;97;1;1955;0;5;4
1020;59;1;2020;0;1;3
604;60;1;1980;0;0;0
1440;114;1;1904;0;4;3
1000;70;0;1972;0;2;2
560;55;0;1914;1;3;2
970;80;1;1975;0;3;0
1482;94;1;2016;1;3;3
789;86;0;1972;1;1;2
976;62;1;2019;0;0;0
1026;76;1;2000;1;3;3
1176;84;1;1972;0;2;3
800;48;1;2012;1;4;3
1090;82;1;1997;0;4;2
1050;91;1;1953;0;2;0
640;55;1;1958;0;0;0
1470;96;1;1910;0;2;3
920;78;0;1953;0;6;2
880;63;1;1960;0;4;3
670;56;1;1954;1;2;3
931;75;1;1961;0;0;0
2379;124;1;1972;0;5;3
940;65;1;1972;1;2;0
1375;75;0;2013;0;2;4
810;59;1;1999;0;5;3
684;50;0;1953;0;0;0
755;65;1;1970;0;0;3
1150;92;1;1985;1;1;2
940;52;0;1926;1;0;0
770;76;1;1972;0;4;3
1685;137;1;1959;1;0;2
564;45;0;1983;0;1;2
1265;97;1;1963;0;0;0
1181;73;1;2002;1;0;3
1518;91;1;2017;0;1;3
1184;86;1;2019;0;1;3
905;73;1;1966;0;5;0
